用户ID,年龄,性别,历史订单数量,购买频率,平均消费金额,优惠券使用,配送距离,是否购买,购买金额,购买等级
1,40,男,25,7,41.41,0,2.62,0,0,未购买
2,34,女,18,5,22.15,1,2.35,1,107.65,低
3,41,男,17,7,38.68,0,4.74,0,0,未购买
4,50,女,15,3,53.04,0,6.58,0,0,未购买
5,33,男,22,4,58.38,1,2.28,1,208.51,低
6,33,女,14,4,40.6,0,1.37,0,0,未购买
7,51,女,10,11,37.31,1,2.74,1,418.97,中
8,43,男,25,12,35.77,1,2.22,0,0,未购买
9,30,男,16,7,49.82,0,3.12,1,308.96,中
10,40,男,11,6,35.93,1,2.98,0,0,未购买
11,30,女,17,7,85.52,1,3.43,0,0,未购买
12,30,女,19,5,61.44,0,2.96,0,0,未购买
13,37,女,12,4,15,1,,0,0,未购买
14,18,男,14,5,53.23,0,6.56,0,0,未购买
15,18,男,18,9,49.72,0,4.83,1,419.29,中
16,29,男,16,9,71.06,0,1.96,0,0,未购买
17,25,男,17,3,74.36,1,5.42,1,213.37,低
18,38,女,17,2,49.14,0,1.57,0,0,未购买
19,26,男,21,7,37.24,0,2.69,0,0,未购买
20,21,男,17,10,42.67,0,4.08,1,423.6,中
21,50,男,23,6,57.79,0,4.96,0,0,未购买
22,33,男,20,5,38.62,0,2.97,0,0,未购买
23,36,男,19,4,59.8,1,2.37,0,0,未购买
24,21,女,18,13,32.8,1,3.14,0,0,未购买
25,30,男,16,7,39.75,0,6.17,1,262.6,低
26,36,男,15,7,49.39,0,1.62,0,0,未购买
27,23,女,24,6,46.36,1,1.27,1,271.49,低
28,39,男,14,2,82.19,0,5.5,0,0,未购买
29,29,男,20,10,75.66,0,4.2,1,738.95,高
30,32,女,11,6,65.91,1,1.45,0,0,未购买
31,29,男,14,7,49.09,0,1.79,0,0,未购买
32,54,女,9,7,52.57,0,1.8,0,0,未购买
33,35,女,27,11,46.52,0,2.2,1,501.84,高
34,24,男,23,13,35.58,1,1.74,1,460.83,高
35,43,男,21,6,51.26,1,4.68,1,396.79,中
36,23,男,26,3,15,0,2.05,0,0,未购买
37,37,女,13,8,18.88,0,3.2,0,0,未购买
38,18,女,10,6,40.92,0,2.45,0,0,未购买
39,22,女,21,3,38.6,0,2.19,0,0,未购买
40,37,女,13,5,61.93,1,3.15,0,0,未购买
41,42,男,19,4,78.82,0,2.51,0,0,未购买
42,37,男,13,8,30.2,0,2.62,0,0,未购买
43,34,女,15,6,59.19,0,3.46,0,0,未购买
44,32,女,26,4,77.55,0,1.97,1,315.38,中
45,20,女,19,11,27.42,1,4.81,0,0,未购买
46,28,男,20,8,34.12,0,4.46,0,0,未购买
47,30,男,17,4,32.67,1,4.5,0,0,未购买
48,46,女,13,3,80.94,1,4.36,0,0,未购买
49,38,男,13,9,46.15,0,3.39,0,0,未购买
50,18,男,25,5,31.95,0,0.98,0,0,未购买
51,38,男,19,9,26.22,0,1.89,0,0,未购买
52,31,男,25,10,46.77,1,5.74,1,427.01,中
53,28,男,15,9,60.42,0,6.09,0,0,未购买
54,41,女,15,6,53.52,0,2.03,0,0,未购买
55,45,女,20,6,52.9,0,1.11,1,339.56,中
56,44,女,26,9,43.35,0,5.72,0,0,未购买
57,27,女,16,7,62.57,1,3.5,0,0,未购买
58,32,男,22,4,47.48,1,3.34,0,0,未购买
59,38,男,15,9,35.33,1,1.37,0,0,未购买
60,45,女,17,9,59.11,0,3.7,0,0,未购买
61,30,女,16,11,41.81,0,4.95,1,459.98,高
62,33,女,17,9,50.17,1,1.42,0,0,未购买
63,24,女,23,7,60.8,1,2.99,0,0,未购买
64,23,男,21,7,35.17,0,2.51,0,0,未购买
65,43,女,25,8,48.34,0,1.47,1,444.34,高
66,49,男,23,7,46.29,0,3.31,0,0,未购买
67,34,女,19,5,31.89,1,1.18,0,0,未购买
68,45,男,20,6,37,1,4.05,0,0,未购买
69,39,男,19,7,38.3,1,1.08,0,0,未购买
70,29,男,17,2,31.13,0,0.7,1,59.13,低
71,39,女,17,5,38.67,1,1.67,1,211.52,低
72,50,女,18,3,41.01,1,4.81,1,120.81,低
73,35,男,17,4,56.72,1,1.22,1,180.64,低
74,51,男,15,7,66.06,0,6.25,0,0,未购买
75,,男,18,9,49.83,1,5.81,0,0,未购买
